,Review
2625,"El celular viene en excelentes condiciones, la verdad es que ni sé que es lo que está ""reacondicionado"" porque la batería, la pantalla, las cámaras, el funcionamiento y todo está como nuevo.A mi me llego de estética 10/10. Viene con un cargador genérico, pero de buena calidad y la caja tampoco es original (cosa que no me molesta a mi).Me parece una muy buena opción para conseguir un buen celular sin tener que gastar los precios elevadísimos de los distribuidores oficiales."
2626,"El iPhone llega en una caja genérica, pero bien empacado y con su garantía.El único detalle que tiene es un rayón MUY pequeño en la parte de abajo, por donde está el puerto lightning.La capacidad de la batería está al 100% y la pantalla viene con protector ya puesto.La descripción dice que el cargador es certificado por Apple pero no sé si creería esto. No sé cómo funciona la certificación, entonces es probable que solo me esté dejando llevar por la apariencia. Es USB A a lightning en lugar de USB C a lightning."
2627,"Me fue bien, la vida de la pila llego al 100% pero rapidamente bajo al 93% y hasta el momento se ha mantenido así.Estéticamente solo tiene un par de rayones pero nada importante o que afecte el funcionamiento."
2628,"lo recomiendo, solo por unos pequeños detalles estéticos que no modifican el funcionamiento del teléfono, los cuales se logran desaparecer con la funda, mi equipo traía mica protectora y cargador no muy estético pero funcional y de buena calidad"
2629,"Llegó en tiempo y forma.La batería al 100%, solo un pequeño golpe, muy chico, que no afecta en nada en la funcionalidad, carga y mantiene la carga super bien, me dura mas de 12 horas."
2630,"El equipo llego muy rápido y al abrirlo tenía colocada un protector de cristal colocado en la pantalla, compre un protector de alta calidad para proteger el equipo, al retirar la mica protectora (la carcasa no encajaba por el vidrio protector) nos percatamos que bajo el vidrio había otro “plástico” que se desprendió parcialmente y al retirarlo nos percatamos que la pantalla del teléfono estaba extremadamente rayada (adjunto fotografías), los rayones eran muy visibles a más de dos metros de distancia, parece como si el teléfono hubiese sido tallado contra el pavimento, entiendo que es un equipo usado pero creo que por el costo la pantalla debería estar bien, aclaro que el teléfono tenía un pequeño golpe en una esquina y no lo regresamos por ese detalle. Mi inconformidad es que en la descripción del equipo debería aclarar que la pantalla pudiera estar rayada y que el protector de cristal no debe ser retirado para que no se vean y sientan los rayones así mismo el precio debería ser mucho menor. En resumen si compran estos equipos usados exijan que NO tengan micas colocadas para que puedan comprobar el verdadero estado del teléfono. Queríamos ser amigables con el medio ambiente y comprar un equipo reciclado pero por el costo beneficio ahora tenemos que optar por un equipo nuevo. Que decepción."
2631,"La verdad dudaba mucho en adquirirlo, pero rebasó mis expectativas. Lo recomiendo ampliamente. Acorde a su estética está al 99% solo tiene unos rayoncitos muy pequeños que se perciben a contraluz. Y un poco raspadito en los botones. Pero de ahí en fuera jala súper bien!Habrá que esperar los 90 días, pero yo creo que todo marchará súper bien.Amo Amazon!"
2632,Éste celular me encantó a pesar de ser un producto renovado jala Super bien me llevo con el 87% de la batería no he tenido ningún problema no me ha fallado funciona súper bien estoy muy contenta con la compra lo recomiendo 🤩 llevo dos meses de uso sin detalles
2633,"Teníamos muchas dudas de comprarlo, siempre habíamos sido de comprar directo con Apple, pero realmente me impresionó, el equipo está prácticamente nuevo, funcionamiento al 100%. Ojo pueden tener alguno detalles, pero imperceptibles, no viene empacado en caja original ni con accesorios, pero ciertamente no hace ninguna diferencia porque trae accesorios de buena calidad."
2634,"Tenia mis dudas sobre comprar un producto reacondicionado, pero tome el riesgo y quede bastante satisfecho! me llego con la pila al 95% y ningun rayon en la pantalla. Si acaso tenia unos pequeños raspones en la parte inferior donde se carga pero no se veian a simple vista. El cargador tiene el Certificado y funciona bastante bien, aunque opte por comprar su cargador original. En Conclusion, se los recomiendo bastante por el precio que pagas, y con amazon tienes la garantia de 90 dias ante cualquier falla o no estar satisfecho! llevo 2 semanas de uso aproximadamente y hasta ahora todo correcto, lo volveria comprar sin problemas o por lo menos tomare en cuenta esta opcion cuando quiera cambiar de celular! Vale la pena animarse por la garantia que dan,"
2635,"Como dice el producto, es re acondicionado, así que no te llegará un producto “nuevo”. Pero la verdad es que solo le hace falta la caja original de Apple y no habría diferencia. La pila se encontraba al 98%, NO tenía ni un solo rayón en el teléfono, además incluía una mica protectora y el dock, algo que ni los iPhones nuevos de Apple traen"
2636,"El teléfono está sin ningún tipo de falla estética y funcionamiento, prácticamente nuevo. Batería al 100%.Llegó en caja genérica así como también el cable y el cargador. Para mí no es “big deal”, hay muchas más opciones allá afuera que puedan sustituir los que vienen.Muy satisfecho por el precio y lo comprado. Recomendado."
2637,El teléfono no tenía ni un rayón. El problema fue cuando le metí la sim y comenzamos a hacer pruebas. En las llamadas se escuchaba la voz como robot. Como que tenía una falla interna que no lograba tener un audio correcto. Lamentablente lo tuve que regresar.
2638,"Francamente tenía dudas al comprar este iPhone y tener algún problema ya sea en apariencia o funcionamiento, fue una sorpresa para mi que es imperceptible la diferencia frente a un equipo nuevo"
2639,"The media could not be loaded.
                




   No venía en su caja original, el cargador es genérico y aparte de todo está súper rayado de la pantalla quisieron ocultarlo con la mica, quiero una solución con este artículo de baja calidad"
2640,"Estaba muy dudoso de comprarlo pero al final decidí hacerlo por la garantía de 90 días, el equipo estéticamente se ve bien, si tiene un rayon en la pantalla pero no afecta hasta el momento su funcionamiento, de ahí en fuera todo está bien , batería al 100% de capacidad y no tiene piezas reesambladas, el único detalle fue ese rayón en la pantalla, lo seguiré probando respecto al funcionamiento y si llegara haber un detalle pues aplicaría mi garantía pero considero que calidad precio esta bien."
2641,"La verdad confiaba muy poco en los productos reconstruidos, pero me callaron. El iPhone que pedí llegó al siguiente día y sin ningún problema. Batería con vida de 90%, estética al 100%. Como es de suponer, el cable y cargador no son del celular, pero bueno unas por otras. Incluso el celular ya tenía una mica cristal, lo que me ahorró en comprarlo. Espero que todos tengan la misma suerte que yo, sino, vayan por la segura y compren uno nuevo"
2642,"El primero que compré lo devolví porque no leía ninguna sim card, lo devolví y luego compre compré por segunda ocasión y esta vez me enviaron uno en excelentes condiciones y con batería al 92%. Muy bueno"
2643,"El teléfono llego en perfecto estado estético !!, sin embargo con el paso de los días me di cuenta que la pila se encontraba en 90% y en menos de una semana bajo a 88%, el duplicar pantalla no funciona , no se porque no se conecta, y el Bluetooth no se conecta inmediatamente cuando subo al auto, siendo que ya está programado. Tengo mi sospecha de que los datos de internet en la calle no funcionan al 100 % porque de repente no tengo señal estando en un lugar en la ciudad ( por ejem. El estacionamiento del súper al aire libre ) no se tengo mis dudas si volveré a comprar este tipo de artículos en Amazon . Comprarlo es un volado o te sale excelente o trae sus detalles !!"
2644,"El producto NO es compatible con la B28, lo cual infringe la ley en México ya que todos los dispositivos vendidos aquí deben tener esta banda por ley, la parte de atrás y las cámaras venían en mal estado, estaba muy rayado además que tenía mucho desgaste, si no te importa mucho la estética este producto es para ti."
2645,"Al principio, era algo escéptico de comprar productos “reacondicionados” pero me di cuenta que es lo mejor que se puede hacer.1. ahorrar dinero2. Salvar a nuestro planetaYo creo que esas son las dos mejores razones. El celular llego con 100% de batería (habra que ver si sigue así) y estética perfecta, le pondria un 9.5/10 por que trae ligeros rayones, pero muy poco susceptible a la vista. Lo único que podría “criticar” es que el botón de apagado no hace “clic”, pero será cuestion de llevarlo a limpiar con algun técnico o algun reparador.100% convencido de mi compra, con BuySPRY."
2646,"Mi equipo vino con bastante uso y con un desgaste avanzado de la batería, 90 %. Equivalente a aproximadamente 1 año de uso.Vino con varios raspones pero fuera de eso, es un equipo funcional. Lo que no ayuda es su relación calidad - precio, que en mi caso, no fue tan buena como para otros compradores.Tuve que solicitar un reembolso."
2647,"Estaba nerviosa de comprarlo por ser un equipo reacondicionado, leí reseñas buenas y otras malas. Pero me anime por que tiene garantia de 90 dias y si algo no te gusta puedes regresar el equipo, eso me dio tranquilidad y para mi sorpresa el equipo llego muy bien y funciona super bien!!! Todos los botones sirven, el FaceID sirve y la pantalla viene intacta. Los únicos detalles que tiene son en los laterales y abajo (unos pequeños rasguños que muestro en mis fotos, pero la verdad ni se notan). Fue totalmente lo que esperaba. La batería tiene una vida del 83% (dura lo normal, lo que un iphone normalmente dura, lo cargo 1 vez al día o 2 si lo uso demasiado). Si algo sale mal o sigue estando bien, volveré en unos meses para poner una actualización e informarles como va mi equipo, llevo una semana con él"
2648,"Desde que llegó no detectaba el dedo y no podia hacer nada, pero hice la devolución sin ningun problema para poder comprar otro del mismo proveedor que me llegó y parecia nuevo, llevo vaios meses y no he tenido problemas. Te ahorras dinero pero si pasa algo te quedas con la duda de la procedencia del teléfono; creo que a la mayoría le va bien."
2649,"El equipo llegó bien protegido en buenas condiciones generales, no está rayado incluso traía una mica de cristal, solo tiene desgaste en una esquina pero nada grave a nivel estético.El problema más grande que le veo es la batería ya que llego con una condición de 84% Al ser reacondicionado es un detalle que podía pasar sin embargo creo que por el costo podría venir mejor.En mi caso no encontré uno nuevo por el buen fin, pero por 2000 pesos más si hubiera preferido uno nuevo mil veces"
2650,"Al ver otras opiniones tenía expectativas bajas, pero todo completamente bien. El teléfono no traía ni un solo golpe y quite la mica que traía para detectar rayones pero nada. Estéticamente el teléfono 10/10 después revise la condición de la batería y todo bien, ya que venía al 98%.Creo que tuve muy buena suerte, sobretodo por ls demás opiniones. Lo compré con BuySpry a 10K."
2651,"Excelente equipo, prácticamente como nuevo y llego rápido!!"
2652,"Buen iPhone, llego en mi caso algunos días antes de lo previsto, el equipo viene con batería al 84%, un pequeño rayón en el bisel y algunos arañazos profundos en pantalla (se disimulan con la mica), eso es lo que me pareció no Tan bueno, en las cosas buenas, vaya, es un iPhone, todo lo demás sumamente funcional y normal sin ningún problema, si recomiendo comprar por el precio al que lo conseguí, sugiero estar pendientes con las variaciones de precio y buscar el más bajo, le daría un 8.5 a la transacción en general"
2653,"I got first phone for my son, battery life was great but screen is not original and very fragile, he already has it cracked. I got another phone for myself from the same seller and package came very strange: phone wasn't erased, low battery life, no key to insert sim card. I was very disappointed and returned this phone. It was very difficult to return my phone as well because I had to pay to ship to back. Luckily Amazon covered my shipping but I'm not dealing with this seller again."
2654,"Llevo un poco más del mes con el iPhone y mi opinión tras es el uso es que llegó en buenas condiciones, estéticamente 9.5, tiene unos ligeros rayones en la pantalla y en la parte trasera marcas de uso de funda, pero aun así no es nada grave o que se note demasiado. En cuestión de la batería llegó con 91% de condición por lo que no está nada mal, en el tiempo que llevo con el todo le ha funcionado y no he tenido ningún problema , Face ID, llamadas y mensajes, cámaras, batería, no tiene pantalla genérica por lo que cheque, GPS, BT , todo bien, lo único que comentaría es que NO ESTA TOTALMENTE DESBLOQUEADO DE COMPAÑÍA como se dice, yo usaba mi compañía telefónica Bait y a la hora de insertar la SIM no la leyó, hasta que probé con Telcel y Movistar funcionó, tuve que cambiar de compañía para hacer uso del Celular que para mí no fue gran problema, pero se comenta por qué al menos el que me enviaron no era para cualquier compañía."
2655,Mal
2656,"Compré este modelo porque estaba en descuento con la duda de saber que me esperaría, me desilusiono un poco porque una de las cámaras tenía un golpe y se veia pequeños raspones en un borde del teléfono. Personalmente siempre utilizo mis celulares con fundas protectoras asi que por esa parte no tenia tanto problema. Fuera de eso el teléfono cumplió mis expectativas en todo. El porcentaje de bateria es de 98% sirven adecuadamente las camaras y el face ID. Si buscas un buen teléfono a precios accesibles este modelo lo cumple."
2657,"Es justo lo que prometen un celular renovado, que se ve bien y funciona bien. El mío solo vino con tres rayones muy pequeños en los laterales.  La pantalla sin ningún rayón y la batería al 100%. No se ve cuan exactitud cual fue el detalle o defecto que pudo haber tenido."
2658,"I bought this ogine a month ago, was working fine. Until just now it started completely zooming in the screen to the point where I can't do anything with the phone. It's currently stuck like that. I was told I have 90 day window to return and I want to return thus phone now!!!! I feel ripped off completely!!!!"
2659,"Ya con este van 3 los dispositivos que compro refurbished en amazon (diferentes vendedores) y siempre me han salido bien.Este llego de maravilla sin daño alguno (mas que un ligero rayon en una esquina pero ni se nota) todo funciona bien y hasta el cargador genérico llego bien, sin duda comprar en amazon es cuestión de seguridad y precio."
2660,"La carcasa con múltiples golpecitos. La pantalla sumamente rallada, le sobre pusieron una mica,para ocultar los rallones. Pero se la retire y o sorpresa. Para mí no vale lo que pagué. Así que va de regreso."
2661,"El celular me llegó al siguiente día, tal como lo indica la descripción y por ser un teléfono renovado no llego en caja original , ni con el cargador original y no trae audífonos, se siente y se ve como nuevo totalmente al checarlo en Apple indica que obviamente ya no tiene garantía ahí solo los tres meses con el vendedor !!!"
2662,"El teléfono funciona al 100 la parte trasera muy bien cuidada , pero la pantalla , esta demasiado rayada , entiendo que es renovado,  pero en la descripción dice que esta como nuevo y puedo aceptar algunos rayones,  pero tiene algunos rayones que resaltan a metros de distancia,  y son inaceptables"
2663,"Antes de comprarlo tenía muchas dudas ya que había cometarios buenos y malos, pero después de revisar en muchos lugares me decidí por Amazon. Llego rápido y antes de abrirlo tenía mucho miedo de lo que me iba a encontrar pero quedé impresionada, la estética estaba 10/10 batería al 100, la verdad no sé qué problema traía el cel antes porque sus condiciones están al 100 en todo ya que lo estuve probando estos días antes de hacer una review.Siento que esto es de suerte, a veces te puede tocar uno de mala calidad y otras veces uno excelente. En mi experiencia personal me tocó una excelente y volvería a arriesgarme a comprar uno así"
2664,"El producto llego con manchitas en una orilla del telefono muy poco visible pero era algo que yo estaba dispuesta a aceptar dado a que es reacondicionado, a demas de eso todo perfecto, capacidad maxima de la bateria de 92% camaras y el resto perfecto (solo ese detalle que es casi imperceptible) ya llevo usandolo aprox una semana y todo super bien, animense ya compramos otro equipo aqui mismo y llego excelente tambien!"
2665,"El primero que me llegó no detectaba el dedo, hice la devolución sin ningún problema, volví a comprar otro y parece nuevo, sin ningún rasguño me tocó la batería al 100% y no he tenido problemas hasta ahora (2 meses)."
2666,"El producto llego en perfectas condiciones y al revisarlo no se le cambio nada, todos sus componentes son originales.Me sorprendió que llego prácticamente nuevo, la batería tenía un 94% de vida y no hay un solo rasguño en la carcaza y pantalla.Ampliamente recomendable.Lo único que no me gusto es que el cubo y cable para cargar se ven de baja calidad, no los uso ya que tengo accesorios originales de otro iPhone que reemplace."
2667,"Pues nada llego con 94% de batira, y solo el vidrio de la parte trasera tenia rayones pequeños (tenia que acercarmelo a la cara para poder apreciarlos), contento con la compra y con el equipo (volvi a IOS despues de tantos años XD desde el 5s)"
2668,"En sí el producto se ve muy muy poco usado, me llegó con 99% del estado de la batería, los 256gb que pedí, hasta ahora ha funcionado con normalidad, el único detalle que me percaté fue que al ver otro iPhone 11 de un amigo (que se adquirió nuevo), lo sentí con más calidad en la pantalla, muy probablemente el que me dieron cuente con una pantalla genérica, no se ve taaaan mal, pero tengo que admitir que la sensación de la calidad de pantalla del otro iPhone me agradó muchísimo más…"
2669,"El producto es genial, le daría una calificación de 10"
2670,"Después de pensarlo mucho me decidí a adquirir este iPhone renovado, funciona súper bien, Lo único fue la batería que venía al 86% de su capacidad, aún así le dura bastante la pila, me dura casi todo el día, no traía ningún rayón o golpe, el Face ID Le funciona Perfecto. Trae un cargador y caja genérico como describe la publicación. Hasta ahora no ha fallado, lo recomiendo 👍🏼👍🏼"
2671,"Intuyo que la pantalla fue reemplazada, dado que encontré restos de pegamento.La pantalla se ve excelente, no tiene rayones, golpes, todo en excelente estado."
2672,"Compre el iPhone 11 rojo 64 GB a $11,100. El producto llegó en muy buenas condiciones con una batería útil de 92% en caja con cable y adaptador de corriente de carga rápida todo genérico pero útil.El producto estaba excelente estéticamente sin daños visibles, un poco sucia la cámara pero la limpié y funciona todo correcto.La considero una buena compra, sin embargo doy 4 estrellas por que en Amazon USA se puede comprar el mismo modelo por menos precio y con la opción de Renewed Premium, con el costo de envío y los costos de aduana sería más barato cerca de $500-$300 pesos mexicanos más barato al precio que lo adquirí. Recomiendo comprarlo ahí, sin embargo si no tienen tiempo o baja el precio está es una muy buena opción."
2673,It was easy to convert from my iPhone 6 to the 11. Phones mated and I changed the SIM card and Bingo everything worked. I was able to keep my current plan which was important to me. I think the price was fair and so I’m quite happy.
2674,"Llegó en tiempo y forma, buena presentación, pero al sacarlo del empaque veo que tienes dos rayones grandes en la pantalla que se notan desde lejos. También cuenta con una mancha blanca en una zona de la pantalla, que se nota demasiado al usar el tema blanco. Al usarlo y verificar estado de la batería está al 77% cuándo en la publicación menciona qur estará por arriba del 80%. No cumple con la descripción del producto, no esperaba que viniera cómo nuevo, pero tampoco tan descuidado y dañado."
2675,"Quand j'ai acheté ce téléphone, je m'attendais à recevoir un téléphone qui avait l'air usagé. J'ai été très surprise de constater qu'il est comme neuf: pas une égratignure, rien du tout! La pile a une charge maximale de 95%, ce qui est excellent."
2676,"Pros: Están a un precio bastante reducido a comparación a un equipo nuevo, (al menos el mio) parece como nuevo, no tiene absolutamente ningún defecto físico, tiene la batería al 100%, viene con mica, causa menos contaminación que un equipo nuevo.Contras: Viene con cargador genérico, y no viene con audífonos."
2677,Bought it and had keyboard glitchesTook forever to get after paid in full then took just as long to receive my refund.
2678,"Sin detalles esteticos, llega en caja muy bien cuidado, se ve que son equipos muy bien revisados, funcionalidad al 100%"
2679,"El producto llegó muy rápido y en perfectas condiciones, tiene detalles estéticos mínimos que en realidad lo hace ver como nuevo, sacado de una tienda de Apple. La carga de la batería al 100% y muy rápida con el cargador que incluía, la batería dura todo el día con constante uso. Vale mucho la pena por el precio en relación con el estado y la calidad de los productos que manejan. Lo recomiendo totalmente."
2680,"I bought this phone and there were no issues until I noticed the camera shutter noise not shutting off even when the silent mode is on and volume is at mute. I believe this is the case because it is manufactured in Japan and it is mandatory to have this shutter noise constantly on, but living in Canada where it isn't mandatory it is very irritating to me. I was disappointed that this was not specified in the description as this issue happens with not only the camera app but also third party apps like snapchat."
2681,Excelente telefono. Impecable sin ningún rayon no golpe. La batería con 100% de capacidad. Prácticamente nuevo!
2682,"El teléfono llego con algunos rayones en la parte trasera, pero con una funda eran invisibles. Llego con el 99% de batería, sin embargo, comencé a notar sobrecalentamiento usando redes sociales lo cual no es normal, al cabo de 1 semana el estado de la batería era de 96% asi que comencé el proceso de devolucion."
2683,"La verdad hice una buena inversión, mi celular es casi nuevo con solo un pequeño rasguño, no le falla absolutamente nada y la pila está al 100 de condicion. 100% recomendable"
2684,Venia con ligeros rayones . Que si son  muy poco visibles. O perceptiblesCon vida de la batería al 89%Lo que si venía sucio. Que al momento pensé que eran como golpes o tallones  fuertes. Pero no era así.No tiene problemas evidentes en la operación. Tengo una semana de uso .y hasta ahora va bienEl FACE ID funciona bien.
2685,"La verdad tenía mis dudas para comprar este cel pero el equipo llego en perfectas condiciones, el dispositivo no tiene golpes, solo pequeños rayones en la pantalla pero solo se notan si te acercas mucho, la batería llego con un 90% de condiciónSi compraras este cel checa los precios ya que constantemente cambia mucho, yo lo compre en 12,700 pero al día siguiente vi que estaba en 14,000"
2686,"No llego el teléfono, solo enviaron una caja con 2 accesorios. Fatal¡"
2687,"El celular llegó como se esperaba, todas las piezas estaban dentro y no tuve ningún inconveniente en ese aspecto, el producto no me convenció por la calidad, ya que si se ve bastante que es un celular de segundo uso la calidad en comparación con el precio no me pareció lo más adecuado, sin embargo la respuesta de devolución de Amazon fue muy buena y esta en trámite mi rembolso."
2688,"Funciona bien, la batería muy bien 97% lo malo…Me llegó con una ralla en la pantalla y un golpe en la cámara superior de atrás. Muy mal, no lo recomiendo…. Ya que corres riesgo Que no llegue bien el producto, o avisar que puede llegar con detalles. Ya que no publican una foto del iPhone exacto que te enviaran! O debería bajar el precio si saben que tienen detalles! para el precio deben de entregar la cosas en buen estado!"
2689,tristemente el cel que llego no le servia el tocuh..ahora lo estoy devolviendo.. y esperando la devolución..estaba muy emocionada al leer los otros comentarios que todo había salido bien...pero yo solo me llevo una mala experiencia..
2690,"Me espere 1 mes para dar mi opinión del producto después de probarlo, la verdad estoy súper contenta con esta compra, la estética 10/10, la vida de la batería es de 86 (la verdad muy buenos), ya venía con una mica de cristal templado así que solo me preocupe por la funda, todo funciona al 100%, nunca he sido fanatica de comprar productos renewed, la garantía de Amazon me animó un poco y fue la mejor compra!!!"
2691,"Muy buen producto, totalmente lo que esperaba!Tuve dudas de ingresar el producto a la garantía porque pedía IMEI. Si alguien sabe algo díganme!"
2692,"Initially, I was very hesitant to purchase a phone online, a renewed one for that matter. But this phone is practically just as good as new. Mine came with a 91 percent maximum capacity which was great and a huge relief! The packaging was quite okay and the delivery was fast as well. I just got it today so we'll still see how it goes but soo far soo good. Would definitely recommend! Definitely worth it!"
2693,"Bien con el celular, en precio y calidad, apenas con 1 mes y medio de uso, satisfecho por que ha respondido bien, sin ninguna falla del equipo hasta este momento. Recomendable"
2694,Me encantó. Definitivamente lo recomiendo. Ya le hice todas las pruebas para saber que funciona correctamente y esta de lujo. Me vino con un porcentaje de la batería del 92% realmente mejor de lo que esperaba. Sellado en su caja y sus cargadores genéricos.Realmente para el el precio increíble.
2695,"El teléfono me llego de un día para otro aunque me marcaba 4 dias de entrega, así que feliz de la rapidez, el teléfono esta a un 95% de estética unos pequeños arañazos en los marcos pero nada grave, la vida de la batería me llego con un 100%, hasta el momento funciona todo, bastante contento con la compra."
2696,"La verdad esperaba que llegara con algunos detalles estéticos o batería degradada, pero la verdad ha superado mis expectativas porque hasta cristal templado venía incluido, eso si hay que tomar en cuenta que los accesorios y la caja no son las originales pero el equipo si."
2697,So far so good I would buy another refurbished after this. Even though I was hesitant at first.
2698,"Al principio todo bien, hasta venía con mica.Casi un mes después, retiro la mica y veo que tiene demasiados rayones pequeños y unos 4 rayones que incluso parecen grietas, se notan hasta con la pantalla encendida"
2699,"Sencillamente me llevé una grata sorpresa al recibir el teléfono prácticamente nuevo; traía un simple roce en una orilla, pero apenas se nota; la batería es una joya, me llegó con 96 % de vida. Y en todas sus funciones ninguna falla. Llega en una caja genérica al igual que su cargador es genérico, pero venga, eso no es lo importante. Sin duda volveré a comprar «rea condicionado»."
2700,"Producto nuevo, la batería al 100% todo en excelente estado, prácticamente nuevo, los renewed de Amazon son muy buenos, no tuvo ningún problema y 80% más barato que en la tienda Apple, se los recomiendo mucho, más que un nuevo, se van a ahorrar mucho, eso si viene sin caja y con un cargador genérico."
2701,"Mi iPhone llego con una condición de batería del 91%, el cual esperaba más.Tiene detalles estéticos, con raspones en los lentes de las cámaras y en varias partes de alrededor del teléfono.El teléfono se caliente en la parte de atrás, no se si eso sea normal…En general el teléfono ha funcionado bien hasta la fecha, esperemos más adelante si continúa igual."
2702,"The media could not be loaded.
                




   Plus viene cargador y mica lo malo es que no sirvió el speaker, el volumen del cel era demasiado bajo y la pantalla se veía China"
2703,El producto está en buenas condiciones sólo que trai de pila el 91 por ciento. Pero todo lo demás funciona al 100 y compre cargador aparte xq el que trae hace que se caliente el teléfono. Con el original hace que funcione sin problemas.
2704,"Llegó en caja genérica muy bien empacado, como si fuera nuevo, hasta le con plásticos de seguridad, los accesorios son de buena calidad. En estética diría que esta a un 95%, sólo tiene un Rayón de medio centímetro en la pantalla, en lo particular no me agrada, sin embargo no afecta en nada. La pila está a un 90%. El celular funciona perfectamente."
2705,El teléfono me llegó con la pantalla completamente rayada. Ya he procesado la devolución y el reembolso.
2706,"El iPhone no presentaba ni un solo rasguño en la parte trasera ni en la delantera, vino con un porcentaje de 83% en batería, solo tenía un pequeño detalle visible alrededor de la entrada del cargador pero nada de importancia, lo que me di cuenta días después fue que una de sus bocinas no funcionaba, pero aún así cuenta con un volumen y calidad de audio excelentes"
2707,"Este iPhone lo compre para regalo y llego con 100% de batería y ha funcionado correctamente, recomiendo al vendedor en atención para la factura, volvería a comprar con el"
2708,"Excelente producto muy recomendable, funciona a la perfección"
2709,"Viene con la pantalla rayada y la empresa le coloca una mica para ocultarlo, de ahí en fuera la estética del teléfono está bien, igual vino con 89% de condición de batería, no está mal pero pudo ser mejor, para futuros compradores tengan en cuenta que la pantalla puede venir rayada, yo había leído esto en comentarios pasados pero al menos está pasable."
2710,"Llego en excelentes condiciones, no tiene daños externos visibles, viene con una mica protectora y la batería venía al 100% de su capacidad. Me llegó unos días después de comprarlo y fue muy buena elección."
2711,El celular viene en condiciones óptimas para usar sin fallas hasta el momento de estética si tiene sus detalles de uso al ser un equipo refurbish sin embargo por el costo se compensa a uno nuevo.Solo detalles de raspones en los biceles laterales pero en pantalla y tapa trasera impecableMuy buen equipo sin fallas en batería y demásMe llego con el 96% condición de la batería y se me hace súper bien.
2712,"Para quienes quieren un buen teléfono y no les importa que sea seminuevo, sugiero revisarlo bien y usarlo en cuanto llega para probar el funcionamiento, mi familia ha comprado 3 y todos salieron buenos"
2713,"funciona bien, pero dice que no se notan los defectos a un brazo de distancia, pero el equipo que me llego cuenta con defectos considerables. tiene rayones en la pantalla (pequeños pero si se ven a un brazo de distancia), y la parte de atras esta un poco estrellada"
2714,"iPhone 11 showed up on time, screen had numerous scratches and a white cloudy circle on it.  The oleophobic coating was gone and the screen felt sticky.  The battery was at 82% remaining.  This phone was 20$ cheaper then a new iPhone 11.  I returned it and bought a phone from Apple."
2715,"Hasta el momento es un 10 súper ganado, me llegó con el 100% de pila y sin un solo raspón o problema en el hardware, de funcionamiento todo ha ido perfectoActualizaré con el paso del tiempo pero de momento estoy contento con la compra"
2716,"I saved a good chunck of money buying a refurbished phone and I’m glad I did. It feels and looks brand spanking new, even comes with a screen protector on it. Don’t waste your money on a new iPhone people."
2717,"Llegó en muy buen estado, parece nuevo, no tiene ninguna imperfección física ni rayón. Lo entregaron con mica protectora y todo. La batería estaba en una capacidad de 89% así que es buena para ser un equipo usado. Estoy muy conforme con mi compra y sobre todo con la relación calidad - precio creo que valió la pena."
2718,"El celular viene en estupendas condiciones, al 98% de batería de capacidad, sin rayones, a excepción de una sola marca de rayadura en una de las esquinas, pero no se le nota nada. Viene con un cargador y cable genérico, pero ambos funcionan perfectamente bien."
2719,"Funciona súper bien, lo único que tenia eran unas marcas de la funda anterior en los bordes, pero no tiene ningún rayón ni golpe. Dicen que la batería puede llegar hasta con el 80% pero me llegó con el 100% y aun sigue así, pensaba comprar el iPhone 12 pero por presupuesto compré el 11 y quedé totalmente satisfecho"
2720,"No me gustó que la pantalla estuviera muy rallada la cuál con la mica que viene no se ve hasta que se la quitas, y la batería venia al 88 % de capacidad , el procesador si es lo que se espera y la batería igual pero la pantalla venia muy mal"
2721,"Mala experiencia, el equipo lleno de golpes en el marco de metal, la pantalla tan rallada que ni con un protector se ocultaría y por el brillo no pareciera ser pantalla original, no volvería a comprar un teléfono por amazon"
2722,"Excelente compra! El equipo venía en perfectas condiciones, batería al 100%, mica frontal y ningún detalle ni rasguño exterior. Funciona perfecto y al mejor precio comparado con otras tiendas online o dispositivos usados. Lo recomiendo ampliamente!"
2723,El teléfono venía con rayones en la pantalla lo cual le pusieron una mica para que no se notara y venía 3 golpes que se notaron bastante en la parte superior derecha de el teléfono mis expectativas es que no llegará con bastantes defectos
2724,"A decir verdad tenía muchas dudas sobre si comprar o no este producto. Al final me animé y resultó una grata sorpresa, el producto venía sin ningún detalle, la batería venía al 100% y todo venía muy bien, como dice la publicación, incluye cargador genérico pero funcional."
2725,Overall the phone was ok but the major problem was that I would charge it one day and barely use it by the next day it would be dead. I suggest not to waste your money on this
2726,Nunca había comprado nada reacondicionado pero esta compra me sorprendio. Funciona todo a la perfección y está como nuevo.
2727,"El aparato llegó en excelentes condiciones, estéticamente le doy un 10. Funciona muy bn y hasta ahora no ha presentado ningún problema, llego con 100% en vida de la batería."
2728,"La estética al 99%, sin embargo una de las cámaras parece que no funciona bien, lástima que me di cuenta después de vencido el plazo de devolución"
2729,"Funciona y en perfectas condiciones, solo el cargador no es original, pero cargar bien y rápido me gusto mucho"
2730,"Tenía mis dudas ya que soy muy fan de la marca y nunca he comprado phone renovados, tengo el 11 morado y es pues con apple es garantía de buena calidad, andaba en busca de uno para mi hermana, y le ha encantado. Estética 10/10, lo único pues es la batería que ya venia con 92, eso es como si lo unieran usado al menos un año, pero fuera de eso, todo bien."
